id	text	count
12191577454	凭良心说 好 看到 不像 战狼 的 续集 完虐 湄公河 行动 我 也 是 醉 了 那些 说 吴京 角色 打不死 的 我 想 问 你们 哪部 商业 动作片 没有 个人 英雄主义 的 真 为 你们 感到 丢人 	8608
11880879275	吴京 厉害 了 身为 武打 演员 能 拍 到 这么 高标准 的 大 场面 的 枪战 戏 为 你 点赞 热血男儿 荷尔蒙 爆发 	4428
12206308373	心往 一处 想 劲往 一处 使 就 能 实现 我们 的 梦想 看吧 比 第一部 好太多 了 谢谢 美队 的 动作 指导 	4412
12219013975	已三刷 不 明白 为什么 会 有人 说 中 二 和 吴京 意淫 这种 类型 的 电影 肯定 要 有 一个 英雄人物 带动 情节 的 发展 真的 好看 全场 无尿点 谁 会 希望 有 战乱 一些 人 或 群体 为了 自己 的 私人 利益 发动战争 但 这苦 的 可是 手无寸铁 之力 的 民众 祈求 一个 永远 也 实现 不了 的 愿望 世界 和平 黑子 跪久 了 都 站不起来 了 分 力荐 	8606
12206964914	开篇 长镜头 惊险 大气 引人入胜 结合 了 水平 不俗 的 快 剪下 实打实 的 真刀真枪 让 人 不禁 热血沸腾 特别 弹簧床 架 挡 炸弹 空手 接 碎玻璃 弹匣 割喉 等 帅 得 飞起 就算 前半段 铺垫 节奏 散漫 主角 光环 开太大 等 也 不怕 作为 一个 中国 人 两个 小时 弥漫着 中国 强大 得 不可 侵犯 的 氛围 还是 让 那颗 民族 自豪 心 砰砰 砰 跳个 不停 	2024
12187549664	三星 半 实打实 的 分 第一集 在 爱国 主旋律 内部 做 着 各种 置换 与 较劲 但 第二集 才 真正 显露 吴京 的 野心 他 终于 抛弃 李忠志 了 新增 外来 班底 让 硬件 实力 有 机会 和 国际 接轨 开篇 水下 长镜头 和 诸如 铁丝网 拦截 弹头 的 细节 设计 都 让 国产 动作片 重新 封顶 在 理念 上 它 甚至 做到 绣春刀 最 想做到 的 那 部分 	4963
11721795363	电影 用 的 胶卷 挺差 的 故事 过度 也 差 地方 部队 还 没太多 展示 就 死去 反正 各种 问题 但 就是 能 吸引 人 看 下去 就 冲 这 为什么 要 这么 鄙视 敢 想 敢 去 开拓 的 人 不 允许 他们 再 去 拍 直到 能 有 更好 的 人 拍出 更 棒 的 更 出彩 的 电影 来 呢 	1466
12225795924	开头 的 水下 长 对决 戏可算 华语 电影 的 顶尖 存在 驱逐舰 导弹 和 坦克 在 商业片 里 这么 狂用 也 是 了 得 镜头 运用 和 笑 点 插入 都 很 好莱坞 爆米花 不功 不过 从头 打到 尾 是 真 拼 虽然 镜头 也 有略 乱 时 因为 没 啥 期望值 所以 被 吴京 的 野心 吓了一跳 吴刚 于 谦和 丁海峰 老 三位 像 炖 烂熟 的 牛筋 嚼 着 就 舒服 	8494
12209612164	很 用心 啊 吴京 导演 小看 你 了 确实 在 导演 上 下功夫 了 拉 片子 了 知道 借鉴 是 好 的 至于 大家 比较 反感 的 小 粉红 情绪 我 觉得 那些 桥段 都 是 主旋律 必备 啊 是 稍微 有 一点 过 但 还 可以 接受 最好 的 地方 是 吴京 节奏 掌握 得 很 好 知道 张弛 有度 这点 很 难得 	5259
12196365204	战狼 的 动作 场景 和 战斗 装备 全线 升级 热血 的 打斗 动作 从头 打到 尾 战狼 游走 在 电影 审查 红线 的 边界 和 政治 安全 的 缝隙 是 部 延续 了 第一部 极具 煽动 爱国 情绪 的 国产 动作 大片 如此 制作 精良 的 影片 还 请 多来 一点 	3100
12207032264	整部 电影 延续 的 风格 热血 场面 比 来 的 要 大 打戏 动作 不错 吴京 挺 适合 演 军人 的 电影 之前 的 中国 梦 片段 他 都 念 的 劲儿 劲儿 的 整体 来说 还 不错 不过 张翰太违 和 了 一 出来 就 一股 雷阵雨 的 画风 	12725
12191426732	首映礼 看 的 太 恐怖 了 这个 电影 不讲道理 的 完全 就是 吴京 在 实现 他 这个 小 粉红 的 英雄 梦 各种 装备 轮番 上场 视 物理 逻辑 于 不顾 不得不 说 有钱 真 好 随意 胡闹 	5241
12207520664	上 一部 是 傲气 雄鹰 这 一部 是 第一 滴血 吴京 算是 国内 导演 对 类型 片 感觉 比较 准 的 作为 动作片 钱 都 花 在 有效 地方 整体 火爆 流畅 有 大片 气魄 创作 上 也 足够 真诚 人物 设计 也 都 不错 连 张翰 都 很 可爱 了 如果 吴京 不 像 当年 甄子丹 那样 一时 膨胀 在 银幕 上 独占 聚光灯 肯定 可以 走 得 更 远 	2217
11874575454	打戏 太燃 期待 	1390
12210781403	好莱坞 总是 美国 总是 拯救 世界 国产片 就是 中国 梦想 拯救 非洲 	1235
12214445654	张翰脸 比 女主白 太多 了 请问 用 了 什么 护肤品 	969
12207192342	吴京 的 炒作 水平 不输 冯小刚 但小刚 至少 不会 用 主旋律 来 炒作 吴京 让 人 看 了 不 舒服 为了 主旋律 而 主旋律 为了 煽情 而 煽情 让 人 觉得 他 是 个 大 做作 大 谎言 家 更新 片子 整体 不如 湄公河 行动 整体 不够 流畅 编剧 有毒 台词 尴尬 刻意 做作 的 主旋律 煽情 显得 如此 不合时宜 而 又 多余 	3142
12197108964	战狼 的 制作 明显 比 第一部 升级 了 不少 坦克 漂移 无人机 突袭 直升机 坠露 水下 肉搏 军舰 导弹 发射 场面 和 动作 再 加上 非洲 叛乱 国际化 的 视角 完全 是 好莱坞 大片 的 标配 吴京 饰演 的 冷锋 更加 深入人心 如此 搏命 的 精神 在 当下 华语 动作 电影 算是 少见 了 期待 第三部 	1351
12054327454	意料之中 的 精彩 意料之外 的 惊喜 属于 我们 的 英雄 展现 狼性 的 军魂 	1105
12213530403	吴京 确实 很 聪明 很 鸡 贼 在 一面 大 旗下 呈现 了 一出 重工业 娱乐 电影 他 一直 调控 着 说教 和 娱乐 的 比例 娱乐 多 了 尺度 不 被 允许 说教 多 了 大众 不 接纳 比例 把握 非常 微妙 这 其中 还是 有 一些 奇侠 化 的 内容 比如 用 玻璃碴 子当 飞镖 杀敌 一类 只不过 被 遮盖 掉 了 老爹 演过 美剧 搏击 王国 力荐 那部 美剧 	972
12204574362	下 一部 拍 喜剧 吧 整个 片子 真 感觉 挺 搞笑 的 	11485
12211172412	说 喜欢 这部 片子 的 人 不是 装傻 就是 真傻 要不是 真的 没有 别的 可 看 肯定 是 不会 选 这部 的 直男癌 到 令人发指 所有 剧情 走向 也 完全 是 九十年代 那套 照搬 审美 这件 事儿 真 不是 一时半会儿 能 培养 出来 的 	9028
12273113462	人 肉 手臂 升国旗 是 其他 自干 主旋律 导演 想象 不 出来 的 吴京 这个 姿势 值 亿 票房 满分 整部 电影 充斥 着 极端 过火 的 暴戾 杀戮 大意 是 已经 乱 成 这样 别人 都 把 中国 人 踩 头上 了 你 还 不 杀 他 全家 但 冷静 一想 就 知道 非洲 背景 中非 友爱 和平 是 一家人 纯属 臆想 全片 最 跳 但 也 最 真实 解气 就是 一脚 揣飞 强拆 头子 	2481
12210006312	符合 有钱 了 续集 反而 拍 更 差 这一 放之四海而皆准 的 规律 场面 越做越 大 然而 伴随 着 各种 动作 场面 和 特效 场面 的 升级 这 一部 的 叙事 反而 变得 非常 凌乱 格局 颇 大 想 拍成 黑鹰坠落 结果 撑死 最多 也 只是 官方 主旋律 版 的 敢死队 吴京 确实 有 野心 但论 自我 角色定位 能力 远 不 如同 是 动作 演员 出身 的 甄子丹 	3390
12226083404	说 剧情 有 我 承认 但 你 看 的 燃不燃 不 动作 打 得 过瘾 不 过瘾 看 得 心潮澎湃 没有 激动 不 国产 商业 动作片 能 拍 到 这个 水准 已经 值得 表扬 了 不 给 鼓励 还 在 那 挑刺 呵呵 	786
12210634211	吴京 的 冷峰 在 这部 里 即 像 成龙 又 像杰 森斯坦 森 但 体制 外 的 同 类型 电影 主角 总是 代表 个人 无能 的 政府 需要 求助于 这些 英雄 才能 解决 难题 体现 的 是 个人 的 价值 所以 主旋律 照抄 这种 模式 实际上 是 有 问题 的 我们 以前 嘲笑 个人 英雄主义 却 没想到 捆绑 爱国主义 的 全能 战士 更加 难以 下咽 	2939
12207292304	好燃 啊 好看 表白 吴京 和 达康 书记 	960
